date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:53:12	333834/333834	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225180a-54536664b48e3%22	https://17314-presscdn-0-16-pagely.netdna-ssl.com/extended/wp-content/themes/jobify/fonts/ionicons.svg?v=2.0.0	D:/emp/17314-presscdn-0-16-pagely.netdna-ssl.com/extended/wp-content/themes/jobify/fonts/ionicons28b5.svg	(from https://17314-presscdn-0-16-pagely.netdna-ssl.com/extended/wp-content/themes/jobify/style.css?ver=20160826)
05:53:13	22374/22374	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225766-5317710116d00%22	https://jobify-demos.astoundify.com/extended/wp-content/plugins/jetpack-sharing/genericons/genericons/Genericons.eot	D:/emp/jobify-demos.astoundify.com/extended/wp-content/plugins/jetpack-sharing/genericons/genericons/Genericons.eot	(from https://17314-presscdn-0-16-pagely.netdna-ssl.com/extended/wp-content/plugins/jetpack-sharing/genericons/genericons/genericons.css?ver=3.1)
05:53:14	22188/22188	---M--	200	added ('OK')	application/font-sfnt	etag:%2256ac-5317710116d00%22	https://17314-presscdn-0-16-pagely.netdna-ssl.com/extended/wp-content/plugins/jetpack-sharing/genericons/genericons/Genericons.ttf	D:/emp/17314-presscdn-0-16-pagely.netdna-ssl.com/extended/wp-content/plugins/jetpack-sharing/genericons/genericons/Genericons.ttf	(from https://17314-presscdn-0-16-pagely.netdna-ssl.com/extended/wp-content/plugins/jetpack-sharing/genericons/genericons/genericons.css?ver=3.1)
05:53:15	2300/2300	---MCZ	200	added ('OK')	application/json	date:Fri,%2016%20Jun%202017%2005:53:14%20GMT	https://jobify-demos.astoundify.com/extended/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fjobify-demos.astoundify.com%2Fextended%2Fhow-it-works%2F	D:/emp/jobify-demos.astoundify.com/extended/wp-json/oembed/1.0/embed4313.json	(from https://jobify-demos.astoundify.com/extended/how-it-works/)
05:53:17	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2016%20Jun%202017%2005:53:17%20GMT	https://jobify-demos.astoundify.com/extended/?p=99991394	D:/emp/jobify-demos.astoundify.com/extended/indexe4ab.html	(from https://jobify-demos.astoundify.com/extended/how-it-works/)
05:53:17	2393/2393	---M-Z	200	added ('OK')	text/xml	date:Fri,%2016%20Jun%202017%2005:53:17%20GMT	https://jobify-demos.astoundify.com/extended/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fjobify-demos.astoundify.com%2Fextended%2Fhow-it-works%2F&format=xml	D:/emp/jobify-demos.astoundify.com/extended/wp-json/oembed/1.0/embedecd7	(from https://jobify-demos.astoundify.com/extended/how-it-works/)
05:53:18	2275/2275	---MCZ	200	added ('OK')	application/json	date:Fri,%2016%20Jun%202017%2005:53:18%20GMT	https://jobify-demos.astoundify.com/extended/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fjobify-demos.astoundify.com%2Fextended%2Fpricing%2F	D:/emp/jobify-demos.astoundify.com/extended/wp-json/oembed/1.0/embedd084.json	(from https://jobify-demos.astoundify.com/extended/pricing/)
05:53:18	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2016%20Jun%202017%2005:53:18%20GMT	https://jobify-demos.astoundify.com/extended/?p=99991374	D:/emp/jobify-demos.astoundify.com/extended/index2915.html	(from https://jobify-demos.astoundify.com/extended/pricing/)
05:53:19	2368/2368	---M-Z	200	added ('OK')	text/xml	date:Fri,%2016%20Jun%202017%2005:53:19%20GMT	https://jobify-demos.astoundify.com/extended/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fjobify-demos.astoundify.com%2Fextended%2Fpricing%2F&format=xml	D:/emp/jobify-demos.astoundify.com/extended/wp-json/oembed/1.0/embed74ae	(from https://jobify-demos.astoundify.com/extended/pricing/)
05:53:21	60812/60812	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jun%202017%2005:53:20%20GMT	https://jobify-demos.astoundify.com/extended/post-a-job/?selected_package=99991371	D:/emp/jobify-demos.astoundify.com/extended/post-a-job/index6a98.html	(from https://jobify-demos.astoundify.com/extended/pricing/)
05:53:22	2290/2290	---MCZ	200	added ('OK')	application/json	date:Fri,%2016%20Jun%202017%2005:53:20%20GMT	https://jobify-demos.astoundify.com/extended/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fjobify-demos.astoundify.com%2Fextended%2Ffind-a-job%2F	D:/emp/jobify-demos.astoundify.com/extended/wp-json/oembed/1.0/embed1f8c.json	(from https://jobify-demos.astoundify.com/extended/find-a-job/)
05:53:22	60812/60812	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jun%202017%2005:53:20%20GMT	https://jobify-demos.astoundify.com/extended/post-a-job/?selected_package=99991372	D:/emp/jobify-demos.astoundify.com/extended/post-a-job/index8649.html	(from https://jobify-demos.astoundify.com/extended/pricing/)
05:53:22	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2016%20Jun%202017%2005:53:21%20GMT	https://jobify-demos.astoundify.com/extended/?p=3940	D:/emp/jobify-demos.astoundify.com/extended/indexef85.html	(from https://jobify-demos.astoundify.com/extended/find-a-job/)
05:53:23	60812/60812	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jun%202017%2005:53:22%20GMT	https://jobify-demos.astoundify.com/extended/post-a-job/?selected_package=99991373	D:/emp/jobify-demos.astoundify.com/extended/post-a-job/index8c33.html	(from https://jobify-demos.astoundify.com/extended/pricing/)
05:53:23	2383/2383	---M-Z	200	added ('OK')	text/xml	date:Fri,%2016%20Jun%202017%2005:53:23%20GMT	https://jobify-demos.astoundify.com/extended/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fjobify-demos.astoundify.com%2Fextended%2Ffind-a-job%2F&format=xml	D:/emp/jobify-demos.astoundify.com/extended/wp-json/oembed/1.0/embedaa8f	(from https://jobify-demos.astoundify.com/extended/find-a-job/)
05:53:26	1504/1504	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e0-5317dd2de2480-gzip%22	https://17314-presscdn-0-16-pagely.netdna-ssl.com/extended/wp-content/plugins/wp-job-manager-tags/assets/js/tag-filter.js?ver=1.0	D:/emp/17314-presscdn-0-16-pagely.netdna-ssl.com/extended/wp-content/plugins/wp-job-manager-tags/assets/js/tag-filter5152.js	(from https://jobify-demos.astoundify.com/extended/find-a-job/)
